Nummer;Naam;Adres;Postcode;Plaats;X;Y;Opmerkingen
1;Stadhuis;Dudokplein 1;1971 EN;IJmuiden;103142,70;497289,10;
2;Woon- en zorgcentrum Huis ter Hagen;Lodewijk van Deyssellaan 254;1985 CV;Driehuis;104455,05;495634,53;
3;Basisschool De Toermalijn;Driehuizerkerkweg 121;1985 HB;Driehuis;103829,10;495574,00;
4;Voormalig Raadhuis;Torenstraat 7;1981 BC;Velsen-Zuid;104671,70;497378,00;
10;Wooncentrum Velserhooft;Wulverderlaan 65;2071 BH;Santpoort-Noord;103919,60;494284,80;
11;Café Zaal De Wildeman;Hoofdstraat 142;2071 EL;Santpoort-Noord;104525,40;494128,40;
13;De ZorgSpecialist;Crocusstraat 1;2071 NW;Santpoort-Noord;104426,55;494166,27;
14;'t Brederode Huys;Bloemendaalsestraatweg 201;2082 GE;Santpoort-Zuid;103439,60;492573,00;
15;Basisschool Het Anker;Grote Buitendijk 48;1991 BZ;Velserbroek;105721,40;494795,00;
16;Brederode Daltonschool;Willem de Zwijgerlaan 110;2082 BD;Santpoort-Zuid;103508,37;492599,61;
17;COB Hofstede;Aletta Jacobsstraat 227;1991 PT;Velserbroek;105690,60;494256,00;
18;Basisschool De Duinroos;Floraronde 293;1991 LB;Velserbroek;105200,38;494011,35;
19;Basisschool De Westbroek;Platbodem 201;1991 NN;Velserbroek;105475,40;493685,40;
20;Basisschool De Molenweid;Sluisweid 9;1991 EV;Velserbroek;105671,90;494531,70;
21;KBS De Rozenbeek;Spitsaak 70;1991 NS;Velserbroek;105601,20;493824,00;
22;Sporthal Het Polderhuis;Vestingplein 58;1991 RK;Velserbroek;105624,10;494193,30;
32;Stichting OIG-IHD;Abelenstraat 1;1970 AC;IJmuiden;103600,70;496971,90;
33;Sint Fransciscusschool;Franciscuspad 15;1971 PE;IJmuiden;103194,30;496945,40;
35;De Vliegende Hollander;Casembrootstraat 58;1972 CC;IJmuiden;102835,80;497291,30;zij-ingang
36;Buurthuis De Spil;Frans Halsstraat 29;1971 VZ;IJmuiden;102804,90;496857,30;
41;Verpleeghuis Velserduin;Scheldestraat 101;1972 TL;IJmuiden;102313,43;496755,04;
42;CBS Het Kompas;Stephensonstraat 70A;1972 RR;IJmuiden;102098,49;497070,16;
44;Woon-en zorgcentrum W.F. Visserhuis;Houtmanstraat 1;1972 EE;IJmuiden;102231,80;497340,11;
46;IJmuider Zee en Havenmuseum;Havenkade 55;1973 AK;IJmuiden;101406,30;496932,60;
48;Woon-en zorgcentrum Breezicht;Keizer Wilhelmstraat 1;1975 EA;IJmuiden;101143,10;497499,87;
50;Voetbalvereniging Stormvogels;Zuiderkruisstraat 72;1973 XM;IJmuiden;101627,60;496329,40;
53;De Pleiaden;Pleiadenplantsoen 63;1973 BS;IJmuiden;101242,20;496479,10;ingang schoolplein
55;Basisschool De Origon;Orionweg 576;1974 TV;IJmuiden;100866,91;496212,63;
56;Buurtcentrum de Dwarsligger;Planetenweg 338;1974 BP;IJmuiden;101230,00;496182,80;
57;Dienstencentrum Zeewijk;Zeewijkplein 260;1974 PC;IJmuiden;101112,30;496054,60;
81;Bedrijfsverzamelgebouw IJmond BV;Grote Hout- of Koningsweg 239;1951 GW;Velsen-Noord;103988,00;498776,90;
83;Dienstencentrum De Mel - Watervliet;Doelmanstraat 34;1951 GC;Velsen-Noord;104537,30;498263,80;
84;De Triangel;Stratingplantsoen 5;1951 EP;Velsen-Noord;104295,90;498569,20;
